"doffin_referanse";"navn";"publisert_av";"kunngjoring_type";"kunngjoring_dato";"tilbudsfrist_dato";"lenke";"cpv";"beskrivelse";"estimert_totalverdi";"kunngjort_uke";"kunngjort_år";"fristlengde"
"2022-354300";"FoU-prosjekt - Kulturnæring og arrangementer i storbyer – ringvirkning for andre sektorer";"Oslo kommune v/ Byrådsavdeling for kultur, idrett og frivillighet ";"Kunngjøring av konkurranse";"2022-02-07";"2022-03-07";"/Notice/Details/2022-354300";"73000000";"FoU-prosjekt - undersøke ringvirkningene av ulike typer kulturnæring og arrangementer i norske storbyer";"1700000";"6";"2022";"28"
"2022-383623";"Oppnevning av medlemmer til Partirevisjonsutvalget for perioden 2022-2026";"Kommunal- og distriktsdepartementet ";"Kunngjøring av konkurranse";"2022-02-03";"2022-03-07";"/Notice/Details/2022-383623";"79200000";"Lov om visse forhold vedrørende de politiske partiene (partiloven) trådte i kraft i 1. januar 2006. Partilovnemnda står sentralt i systemet for kontrollen med at de politiske partiene etterlever sine plikter etter partiloven.
PRU bistår Partilovnemnda i å kontrollere lovens bestemmelser slik at lovens formål om åpenhet om finansieringen av de politiske partienes økonomi, og derigjennom også motvirke korrupsjon og andre uønskede bindinger, styrkes.
PRU består av to medlemmer. Oppnevningsperioden for den nåværende lederen av PRU går ut i september 2022, mens oppnevningsperioden for det andre medlemmet av PRU løper inntil nye medlemmer er oppnevnt.
Medlemmene av PRU oppnevnes av Partilovnemnda. Nemnda skal nå oppnevne to nye medlemmer som må være registrerte, statsautoriserte eller ansvarlige revisorer godkjent etter revisorloven kapittel 3.
";"2200000";"5";"2022";"32"
"2022-319614";"Samfunnsanalyse Vefsn - Næringsetableringer";"Nordland fylkeskommune ";"Kunngjøring av konkurranse";"2022-02-03";"2022-02-23";"/Notice/Details/2022-319614";"73110000";"Nordland er sentral når en snakker om det grønne skiftet. Tilgang til fornybar energi gjør at flere steder i Nordland er attraktive for etablering av ny industrivirksomhet. I Vefsn er det
i løpet av høsten 2021 offentliggjort planer for fem nye etableringer på næringstomtene Nesbruket/Baustein, samt en etablering på næringstomta Holandsvika. Etableringen omfatter bl.a. Bergen Carbon Solutions og Gen 2 Energy.
På bakgrunn av dette ønsker Nordland fylkeskommune og Vefsn kommune å gjennomføre en samfunnsanalyse som skal synliggjøre omfang, framdrift og ringvirkninger og gi et dokumentert grunnlag for planlegging og iverksettelse av treffende tiltak.
";"800000";"5";"2022";"20"
"2022-387765";"Sekretariat for fagevalueringer 2022-2025";"Norges forskningsråd ";"Kunngjøring av konkurranse";"2022-02-02";"2022-03-02";"/Notice/Details/2022-387765";"73000000";"Forskningsrådet, ved Avdeling for statistikk og evaluering, innbyr til åpen anbudskonkurranse om sekretariatstjenester for fagevalueringer. Forskningsrådet skal i perioden 2022-2025 gjennomføre fire evalueringer.
Leverandørene må levere tilbud på begge fagområdene, ""Livsvitenskap"" og ""Naturvitenskap og teknologi"" for å komme i betraktning og få kontrakt, men de vil bare få kontrakt som hovedleverandør på det ene området. Den leverandøren som står som hovedleverandør på et området vil være nummer to leverandør på det andre området, back up leverandør, og kunne levere ressurser på dette området ved behov.
";"10000000";"5";"2022";"28"
"2022-376708";"Kartlegging av vannkvaliteten i Holsfjorden";"Oslo kommune v/ Vann- og avløpsetaten ";"Kunngjøring av konkurranse";"2022-01-31";"2022-02-21";"/Notice/Details/2022-376708";"73200000";"Formålet med anskaffelsen er å inngå en avtale om bistand til å kartlegge vannkvaliteten i Holsfjorden.
Resultatene skal brukes som et grunnlag for prøvetakingsplan etter krav i forskrift om vannforsyning og drikkevann (drikkevannsforskriften) og forskrift om rammer for vannforvaltningen (vannforskriften). Kartleggingen skal gjøres ved å ta prøver fra fem ulike dyp i Holsfjorden, og analysere prøvene for omtrent 50 ulike parametere. Det skal utføres fire runder med prøvetaking.
For mer informasjon om anskaffelsens omfang, se bilag 1 i vedlegg 1 - SSA-O – Bilag.
";"750000";"5";"2022";"21"
"2022-325638";"Kunnskapsoppsummering om hvilken effekt rasisme og diskriminering har på integrering, med mulighet for opsjon";"Integrerings- og mangfoldsdirektoratet (IMDi) ";"Kunngjøring av konkurranse";"2022-01-30";"2022-03-11";"/Notice/Details/2022-325638";"73000000";"Formålet med oppdraget er å få en oversikt over kunnskapen som foreligger om hvilken effekt rasisme og diskriminering har på integrering og særlig deltakelse i arbeidslivet (nasjonalt og internasjonalt), men også andre områder innenfor IMDis mandat og virkeområder.";"4400000";"5";"2022";"40"
"2022-382316";"2022/402 - Rammeavtale med en leverandør for bygningsteknisk rådgivning";"STATSBYGG ";"Kunngjøring av konkurranse";"2022-01-28";"2022-03-02";"/Notice/Details/2022-382316";"71541000";"Statsbygg skal inngå rammeavtale med en leverandør for bygningsteknisk rådgivning.
Rammeavtale skal dekke Statsbyggs behov for generell faglig rådgivning innenfor byggteknikk, konstruktsjonstekk, bygningsfysikk og bistand i prosjekter, både for rehablitering - og nybygg. Rammeavtalen skal ikke dekke prosjektering.
For nærmere informasjon om oppdragsgiver og konkurransen se konkurransegrunnlag og Statsbygg.no.
";NA;"4";"2022";"33"
"2022-309393";"Bistand til utvikling av målbilete og plan for autonomi i Skyss";"Vestland fylkeskommune ";"Kunngjøring av konkurranse";"2022-01-28";"2022-02-14";"/Notice/Details/2022-309393";"73200000";"Skyss ønsker bistand til å sjå korleis vi bør jobbe for å sikre at Skyss er kjent med kva endringar som skjer innanfor fagområdet autonomi. Skyss har tru på at autonomi gradvis vil bli ein viktig del av transportbransjen. Skyss ønskjer bistand til utvikling av målbilete og plan for autonomi i Skyss.";NA;"4";"2022";"17"
"2022-354759";"StartOff-prosjekt med Kolumbus AS";"Direktoratet for forvaltning og økonomistyring (DFØ) ";"Kunngjøring av konkurranse";"2022-01-28";"2022-02-28";"/Notice/Details/2022-354759";"73300000";"Bysykkelen ønsker en bedre utnyttelse av bysykkelsystemet og søker en kostnadseffektiv, enkel og bærekraftig løsning som kan sikre best mulig tilgjengelighet av sykler til brukernes behov.
Kolumbus’ ambisjon om å drifte bysykkelsystemet rasjonelt, økonomisk og bærekraftig. Dette omfatter lavt miljøavtrykk, positive helseeffekter for befolkningen, forsvarlig bruk av offentlige midler, brukervennlighet, innovasjon og optimalisering av dagens bysykkelsystem.
Målet med dette prosjektet er å legge til rette for økt bruk av bysykkeltilbudet gjennom å kunne gjøre flest mulig sykler er tilgjengelige for brukerne der de trenger de, når de trenger det. Syklene skal fordeles rundt slik at stasjoner verken er tomme eller at det hoper seg opp med sykler. Forflytningen av sykler skal tilpasses trafikk- og brukermønster, på en grønn og økonomisk smart måte.
";"600000";"4";"2022";"31"
"2022-361005";"Rapport om valg av studiested";"Kommunal- og distriktsdepartementet ";"Kunngjøring av konkurranse";"2022-01-28";"2022-02-18";"/Notice/Details/2022-361005";"73000000";"Vi ønsker en studie av studenters valg av studiested og analysere allerede tilgjengelige data. I studentbarometeret for 2013 og 2014 ble det stilt ett spørsmål om valg av studiested. Disse spørsmålene har ikke tidligere vært analysert, og har ikke blitt repetert senere. Dataene omfattet alle læresteder og om lag 7500 studenter har svart på spørsmålet. Vi ønsker en undersøkelse av dataene for å vurdere i hvilken grad det finnes regionale forskjeller i valg av studiesteder. Vi ønsker også at undersøkelse av disse dataene settes inn i en bredere kontekst om kunnskap om studenters valg av studie.
Frist for endelig sluttrapport er 1. september 2022.
Anslått verdi for kontrakten er fra kr 150 000 eks. mva. til kr 210 000 eks. mva. Estimatet er ikke bindende for oppdragsgiver.
For nærmere beskrivelse av leveransen, se bilag 1 til kontrakt (Oppdragsgivers beskrivelse av oppdraget).
";"210000";"4";"2022";"21"
"2022-398156";"Utredning av Den kulturelle skolesekken og evaluering av Kulturtanken";"Kultur- og likestillingsdepartementet ";"Kunngjøring av konkurranse";"2022-01-28";"2022-03-01";"/Notice/Details/2022-398156";"73000000";"Kulturdepartementet vil, i samarbeid med Kunnskapsdepartementet, gjennomføre en utredning av Den kulturelle skolesekken som skal belyse virkemidler og tiltak for å nå de nasjonale målene for ordningen. Forskningsoppdraget omfatter en utredning bestående av en kartlegging av Den kulturelle skolesekken og en evaluering av Kulturtanken. Utredningen skal danne grunnlag for videre utvikling av det nasjonale kulturtilbudet for barn og unge.";"2000000";"4";"2022";"32"
"2022-373488";"Innbygger- og brukermedvirkning i boligsosialt arbeid";"Husbanken ";"Kunngjøring av konkurranse";"2022-01-26";"2022-02-21";"/Notice/Details/2022-373488";"73110000";"Formålet med dette oppdraget er å få mer kunnskap om innbygger- og brukermedvirkning på det boligsosiale området. Hva betyr brukermedvirkning i boligsosialt arbeid? Oppdraget skal bidra til en konkretisering av begrepet bruker- og innbyggermedvirking på det boligsosiale området. I tillegg skal det beskrives og foreslås tilnærminger og metoder for innbygger- og brukermedvirkning på individ og systemnivå, som eksempelvis bruk av erfaringskonsulenter, råd og utvalg. Oppdraget skal undersøke og beskrive metoder som er egnet for å sikre god brukermedvirkning ved forsøk og innovative boligsosiale tiltak. Det skal også beskrives gode eksempler på medvirkningsprosesser for ulike prioriterte målgrupper, og fra enkeltkommuner som har lykkes med bruker- og/eller innbyggermedvirkning. Oppdraget skal frembringe gode eksempler til bruk på Husbankens nettsider som veiviseren.no";"640000";"4";"2022";"26"
"2022-301038";"ST-22-04 Utredning skoledrift Sollia skole";"Stor-Elvdal kommune ";"Kunngjøring av konkurranse";"2022-01-26";"2022-02-16";"/Notice/Details/2022-301038";"73000000";"Stor-Elvdal kommune har til hensikt å inngå kontrakt om kjøp av bistand til utredning av skoledrift ved Sollia skole i Stor-Elvdal.";NA;"4";"2022";"21"
"2022-393544";"Barn med fluktbakgrunn – tiltak for inkludering og tilhørighet";"Integrerings- og mangfoldsdirektoratet (IMDi) ";"Kunngjøring av konkurranse";"2022-01-26";"2022-03-07";"/Notice/Details/2022-393544";"73000000";"Formålet med prosjektet er å utvide kunnskapsgrunnlaget om barn i flyktningfamilier. Det er behov for mer kunnskap om barns opplevelse av integreringsprosessen. Det er også behov for mer kunnskap om hvordan kommunene jobber for å integrere barn med fluktbakgrunn, og hvilke tiltak som kan sies å være god praksis.
Hensikten med prosjektet er å:
1. Kartlegge opplevelsene til noen barn med fluktbakgrunn og deres oppvekst i Norge.
2. Gjennomgå kommunale og statlige virkemidler for å fremme bedre integrering av barn med fluktbakgrunn, og gi konkrete anbefalinger for god praksis på integreringsfeltet.
";"2500000";"4";"2022";"40"
"2022-372145";"Rapport om innvandreres innenlandske flytting";"Kommunal- og distriktsdepartementet ";"Kunngjøring av konkurranse";"2022-01-24";"2022-02-14";"/Notice/Details/2022-372145";"73000000";"Vi ønsker en rapport om innvandreres innenlandske flytting på 2000-tallet. Den høye innvandringen de siste 15 årene har gjort at arbeidsinnvandrere i økende grad preger innenlandsk flytting. Tidligere studier (Stambøl 2013) har vist at det er relativt store forskjeller mellom ulike innvandrergrupper i deres innenlandske flytting. Det har kommet store grupper av arbeidsinnvandrere etter 2013. Det er særlig behov for å se om flyttemønsteret til arbeidsinnvandrere har endret seg det siste tiåret og sammenligne dette med flyttemønsteret for norskfødte og andre innvandrergrupper. Studien vil antakelig kreve at tilbyder har eller skaffer seg tilgang til individdata som dekker ulike innvandrergrupper.
Frist for endelig sluttrapport er 1. oktober 2022
Anslått verdi for kontrakten er fra kr 450 000 eks. mva. til kr 585 000 eks. mva. Estimatet er ikke bindende for oppdragsgiver.
For nærmere beskrivelse av leveransen, se bilag 1 til kontrakt (Oppdragsgivers beskrivelse av oppdraget).
";"585000";"4";"2022";"21"
"2022-365319";"Anskaffelse av forskningsprosjekt om sykefravær og frafall fra arbeidslivet";"ARBEIDS- OG VELFERDSETATEN ";"Kunngjøring av konkurranse";"2022-01-22";"2022-02-22";"/Notice/Details/2022-365319";"73000000";"Arbeids- og velferdsdirektoratet ønsker å inngå kontrakt med en leverandør i forskningsmiljøet som kan gjennomføre et forskningsprosjekt for å få mer kunnskap om de sektorovergripende sammenhengene knyttet til sykefravær og frafall fra arbeidslivet.
I forbindelse med inngåelsen av IA-avtalen 2019-2022 ble det besluttet å etablere et FoU-program som skulle bidra til målrettet og solid kunnskapsutvikling om målene, tiltakene og virkemidlene i IA-avtalen. FoU-programmet administreres av Arbeids- og velferds­direktoratet. I programnotatet for FoU-programmet under IA-avtalen fremheves det at det er behov for flere studier som benytter det store tilfanget av registerdata som finnes i Norge. I tillegg til at det trekkes frem at det er behov for kunnskap av høy kvalitet som gir kunnskap om effekter tiltak. 
";"8000000";"4";"2022";"31"
"2022-317784";"Kunnskapsgrunnlag om etterlevelse av opplæringsloven";"Utdanningsdirektoratet ";"Kunngjøring av konkurranse";"2022-01-22";"2022-02-14";"/Notice/Details/2022-317784";"73110000";"Kunnskapsdepartementet utarbeider en ny opplæringslov som skal erstatte dagens opplæringslov. Den nye opplæringsloven vil tre i kraft tidligst skoleåret 2024-2025. I Udirs tildelingsbrev fra KD kommer det frem at Udir skal planlegge og iverksette tiltak for å støtte kommuner, fylkeskommuner og skoler i arbeidet med å bruke, tolke og forstå den nye loven og forskriften til loven. Udir trenger dermed kunnskap om hvordan støtten til regeletterlevelse i sektor hittil har fungert.
Klikk her https://permalink.mercell.com/171377119.aspx
";NA;"4";"2022";"23"
"2022-349323";"Konsulenttjenester for videreutvikling av nettsider";"Integrerings- og mangfoldsdirektoratet (IMDi) ";"Kunngjøring av konkurranse";"2022-01-22";"2022-02-28";"/Notice/Details/2022-349323";"72212224";"Integrerings- og mangfoldsdirektoratet (IMDi) inviterer til åpen anbudskonkurranse om konsulenttjenester for videreutvikling av vårt nettsted. Nettstedet er basert på
publiseringsløsningen Optimizely (tidl. Episerver) og plattformen leveres som en skytjeneste av Optimizely.
";"25000000";"4";"2022";"37"
"2022-380140";"Bistandsavtale sårbarhetsvurdering og sikkerhetsrådgivning, Miljødirektoratet";"Miljødirektoratet ";"Kunngjøring av konkurranse";"2022-01-21";"2022-02-22";"/Notice/Details/2022-380140";"72222300";"Konkurransen skal tilby Miljødirektoratet, Norsk Polarinstitutt, Riksantikvaren, Kulturminnefondet og Artsdatabanken tjenester som sårbarhetsvurdering, penetrasjonstest, sikkerhetsrådgivning og bistand ved sikkerhetshendelser.  Tilbyder skal én gang i året utføre penetrasjons- og sikkerhetstest av alle 5 etater i felles IKT-drift, iht. oppdragsbeskrivelse. Oppstart vil være høsten 2022, og utføres årlig. Tilbyder skal på forespørsel kunne utføre sikkerhetstesting av nye tjenester lokalt og i sky.  Det skal også kunne levere sikkerhetsrådgivning på bredt nivå, eksempelvis ved utvikling og produksjonssetting mot sky, bistand ved sikkerhetshendelser, ikt-revisjon, ROS-analyser m.m. Avtaleperioden er på 2 år med mulighet for forlengelse i inntil 2 år (2+1+1). Miljødirektoratet kjøper normalt slike tjenester til 2.000.000,-/år. Konkurransens totalbeløp er et estimat, og medfører ikke noen forpliktelser. Vi viser videre til konkurransens Kravspesifikasjon.";"16000000";"3";"2022";"32"
