"doffin_referanse";"navn";"publisert_av";"kunngjoring_type";"kunngjoring_dato";"tilbudsfrist_dato";"lenke";"cpv";"estimert_totalverdi";"kunngjort_uke";"kunngjort_år";"fristlengde";"kunngjort_ukedag"
"2022-313886";"Evaluering av reglene om konkurransebegrensende avtaler i arbeidsforhold";"Arbeids- og inkluderingsdepartementet";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-21";"/Notice/Details/2022-313886";"73000000";"15000000";"11";"2022";"35";"tor\."
"2022-342252";"75641 RH OSS Smittevern - Laboratoriesterilisatorer";"Oslo Universitetssykehus HF (hovedenhet)";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-25";"/Notice/Details/2022-342252";"33191110";NA;"11";"2022";"39";"tor\."
"2022-317953";"Robotarmer til undervisning";"INNLANDET FYLKESKOMMUNE";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-18";"/Notice/Details/2022-317953";"42997300";"43000000";"11";"2022";"32";"tor\."
"2022-351391";"ERP-system";"Haugesund kommune";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-21";"/Notice/Details/2022-351391";"72268000";NA;"11";"2022";"35";"tor\."
"2022-339639";"Kalkulatør vannbehandlingsanlegg - Prosjekt ny vannforsyning Oslo";"Oslo kommune v/ Vann- og avløpsetaten";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-14";"/Notice/Details/2022-339639";"71311000";NA;"11";"2022";"28";"tor\."
"2022-364984";"Evaluering av Investinor";"Nærings- og fiskeridepartementet";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-20";"/Notice/Details/2022-364984";"72221000";"15000000";"11";"2022";"34";"tor\."
"2022-367678";"Rammeavtale elektrotenester";"Vindafjord kommune";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-21";"/Notice/Details/2022-367678";"50711000";NA;"11";"2022";"35";"tor\."
"2022-311352";"76395 E2022 RA KRE Institutt for kreftforskning Lysmikroskop";"Oslo Universitetssykehus HF (hovedenhet)";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-18";"/Notice/Details/2022-311352";"38000000";"90000000";"11";"2022";"32";"tor\."
"2022-313049";"Rammeavtale på nettbasert dagligvarehandel";"Lørenskog kommune";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-20";"/Notice/Details/2022-313049";"15000000";"150000000";"11";"2022";"34";"tor\."
"2022-352363";"2022-28 RAM Arbeidstøy og verneutstyr";"Møre og Romsdal Fylkeskommune";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-21";"/Notice/Details/2022-352363";"18100000";"65000000";"11";"2022";"35";"tor\."
"2022-344203";"22/00791 kjøp av hurtiggående arbeidsbåt i aluminium med totallengde inntil 8 meter";"Havforskningsinstituttet";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-15";"/Notice/Details/2022-344203";"34500000";NA;"11";"2022";"30";"ons\."
"2022-381060";"118-BYM-2021 - Entreprenør til bygging av sykkelvei med fortau i Tvetenveien";"Oslo kommune v/ Bymiljøetaten";"Kunngjøring av konkurranse";"2022-03-16";"2022-05-09";"/Notice/Details/2022-381060";"45233140";NA;"11";"2022";"54";"ons\."
"2022-337869";"BKML - FOR 001-2022 Oppgradering av scenelys Åsane Kulturhus";"Bergen kommune - BKML stab";"Kunngjøring av konkurranse";"2022-03-16";"2022-03-24";"/Notice/Details/2022-337869";"31500000";NA;"11";"2022";"8";"ons\."
"2022-337197";"Drift av Foten kafe- Tjenestekonsesjon";"Fredrikstad kommune";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-06";"/Notice/Details/2022-337197";"55330000";NA;"11";"2022";"21";"ons\."
"2022-306750";"Magnetooptisk Kerreffekt-mikroskop (MOKE)";"NTNU";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-18";"/Notice/Details/2022-306750";"38000000";NA;"11";"2022";"33";"ons\."
"2022-315061";"Anbud revisjonstjenester";"Nofima AS";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-20";"/Notice/Details/2022-315061";"79212000";NA;"11";"2022";"35";"ons\."
"2022-314564";"Belysning Agder 2022";"Agder fylkeskommune";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-05";"/Notice/Details/2022-314564";"45316110";NA;"11";"2022";"20";"ons\."
"2022-322132";"Nye Stavanger Universitetssjukehus - IO-9705 Kar-kir intervensjon operasjon hybrid";"Helse Stavanger HF";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-12";"/Notice/Details/2022-322132";"33100000";"130000000";"11";"2022";"27";"ons\."
"2022-309452";"Edda kino - Utvidelse - Rivingsarbeider";"Haugesund kommune";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-07";"/Notice/Details/2022-309452";"45111000";NA;"11";"2022";"22";"ons\."
"2022-389096";"Utredningsoppdrag """"Kommunen som innkjøper""""";"Kompetansesenter for distriktsutvikling - Distriktssenteret";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-25";"/Notice/Details/2022-389096";"73200000";"4000000";"11";"2022";"40";"ons\."
"2022-334314";"Tilbudsforespørsel - Grunnundersøkelse";"Kvænangen kommune";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-08";"/Notice/Details/2022-334314";"45111250";"8000000";"11";"2022";"23";"ons\."
"2022-375087";"Ny ventilasjon Øyra bufelleskap";"Fjaler kommune";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-06";"/Notice/Details/2022-375087";"45331210";"7000000";"11";"2022";"21";"ons\."
"2022-326129";"Vannovervåking vannforekomster i Møre og Romsdal 2022";"Statsforvaltaren i Møre og Romsdal";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-06";"/Notice/Details/2022-326129";"90711500";"7500000";"11";"2022";"21";"ons\."
"2022-314518";"Rådgivnings- og flyttetjenester i forbindelse med flytting til Nye SUS (Kvalifikasjon)";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-19";"/Notice/Details/2022-314518";"98392000";"170000000";"11";"2022";"34";"ons\."
"2022-372929";"Ombygging av Øyra Bufellesskap i Dale";"Fjaler kommune";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-06";"/Notice/Details/2022-372929";"45422000";NA;"11";"2022";"21";"ons\."
"2022-397252";"Rammeavtale telekomtjenester";"Departementenes sikkerhets- og serviceorganisasjon";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-20";"/Notice/Details/2022-397252";"64200000";"900000000";"11";"2022";"35";"ons\."
"2022-356731";"Dam Skarvvannet";"Oslo kommune v/ Vann- og avløpsetaten";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-20";"/Notice/Details/2022-356731";"45000000";NA;"11";"2022";"35";"ons\."
"2022-314521";"Drift i balanse";"Sortland kommune";"Kunngjøring av konkurranse";"2022-03-16";"2022-03-25";"/Notice/Details/2022-314521";"79412000";NA;"11";"2022";"9";"ons\."
"2022-360642";"Bistand i prosess for utvikling av kunstnerisk profil, markedsføringsarbeid, skilting, grafisk uttrykk for nye og eksisterende butikkprodukter";"Oslo kommune v/ Munchmuseet";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-11";"/Notice/Details/2022-360642";"79822500";"21000000";"11";"2022";"26";"ons\."
"2022-387002";"Sonemålere vann";"Stjørdal kommune";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-08";"/Notice/Details/2022-387002";"45232150";NA;"11";"2022";"23";"ons\."
"2022-331366";"Lena Valle vgs. - Utomhusanlegg";"INNLANDET FYLKESKOMMUNE";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-07";"/Notice/Details/2022-331366";"45000000";NA;"11";"2022";"22";"ons\."
"2022-372091";"22-002 Varemottaksdører og gitter";"AS Vinmonopolet";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-22";"/Notice/Details/2022-372091";"45421147";NA;"11";"2022";"37";"ons\."
"2022-373575";"Bygging av mesanin i bygg 0077, Rena leir";"Forsvarsbygg";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-22";"/Notice/Details/2022-373575";"45223200";NA;"11";"2022";"37";"ons\."
"2022-347625";"Tømrer- og snekkertjenste store oppdrag";"Tromsø kommune";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-27";"/Notice/Details/2022-347625";"50700000";"310000000";"11";"2022";"42";"ons\."
"2022-342481";"Rammeavtale på innsamling, transport og behandling av næringsavfall";"Lindesnes kommune";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-22";"/Notice/Details/2022-342481";"90500000";"280000000";"11";"2022";"37";"ons\."
"2022-330727";"Vågåheimen - byggetrinn i og 2 - totalentreprise";"Vågå kommune";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-19";"/Notice/Details/2022-330727";"45215200";NA;"11";"2022";"34";"ons\."
"2022-329081";"Entreprise Paviljong BTB";"Norges miljø- og biovitenskapelige universitet";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-21";"/Notice/Details/2022-329081";"45000000";NA;"11";"2022";"36";"ons\."
"2022-382065";"Fundament til seilingsmerke Innseiling Grenland";"KYSTVERKET";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-06";"/Notice/Details/2022-382065";"45262210";NA;"11";"2022";"21";"ons\."
"2022-397363";"RO-22-02 Kjøp av mannskapsbiler - Prekvalifisering";"Rørosregionen Brann og Redning";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-15";"/Notice/Details/2022-397363";"34144213";NA;"11";"2022";"30";"ons\."
"2022-319725";"Bergen lufthavn: Leie av areal for utøvelse av forretningsvirksomhet innenfor flybuss";"AVINOR AS";"Kunngjøring av konkurranse";"2022-03-16";"2022-05-20";"/Notice/Details/2022-319725";"70220000";"1300000";"11";"2022";"65";"ons\."
"2022-318218";"Konsulentbistand – evaluering av Arbeidstilsynets organisering";"Arbeidstilsynet";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-20";"/Notice/Details/2022-318218";"79411100";"25000000";"11";"2022";"35";"ons\."
"2022-318580";"BV 2022-12 Rammeavtale EØS VA-relaterte rådgivnings- og prosjekteringstjenester 2022-2026";"Bergen kommune - Bergen Vann";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-11";"/Notice/Details/2022-318580";"71310000";NA;"11";"2022";"26";"ons\."
"2022-306916";"Tidsskrifter og utenlandske aviser";"Stortinget";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-25";"/Notice/Details/2022-306916";"79980000";"40000000";"11";"2022";"40";"ons\."
"2022-304374";"Rammeavtale strategisk kommunikasjonsrådgiver";"Enova SF";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-20";"/Notice/Details/2022-304374";"79410000";NA;"11";"2022";"35";"ons\."
"2022-331854";"Vintervedlikehold av kommunale veger til Nord-Odal kommune 2022 - 2026";"Kongsvinger Kommune";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-20";"/Notice/Details/2022-331854";"90620000";"70000000";"11";"2022";"35";"ons\."
"2022-344205";"Dagligvarer, melkeprodukter, fiskeprodukter og kjøttprodukter til Tromsø kommune og Karlsøy kommune";"Tromsø kommune";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-27";"/Notice/Details/2022-344205";"15000000";NA;"11";"2022";"42";"ons\."
"2022-397468";"Rammeavtale trykkeritjenester - Arendal kommune";"Arendal kommune";"Kunngjøring av konkurranse";"2022-03-15";"2022-04-01";"/Notice/Details/2022-397468";"22000000";"18000000";"11";"2022";"17";"tir\."
"2022-396593";"Prosjektering - ombygging Loen vassverk VBA";"Stryn kommune";"Kunngjøring av konkurranse";"2022-03-15";"2022-04-07";"/Notice/Details/2022-396593";"71800000";"5000000";"11";"2022";"23";"tir\."
"2022-311323";"Reinseanlegg Solvorn";"Luster kommune";"Kunngjøring av konkurranse";"2022-03-15";"2022-04-08";"/Notice/Details/2022-311323";"71530000";NA;"11";"2022";"24";"tir\."
"2022-399705";"KK - Rammeavtale - 67630 Etablering av ladeplattform og betalingsløsning for elbillading.";"Kristiansund kommune";"Kunngjøring av konkurranse";"2022-03-15";"2022-04-01";"/Notice/Details/2022-399705";"65320000";"8500000";"11";"2022";"17";"tir\."
"2022-356822";"22-2261 Konkurransegrunnlag åpen tilbudskonkurranse FOA Del II - Hjullaster";"Holmestrand kommune";"Kunngjøring av konkurranse";"2022-03-15";"2022-04-05";"/Notice/Details/2022-356822";"34144710";NA;"11";"2022";"21";"tir\."
"2022-307195";"IN1176 Begby kunstgressbane";"Fredrikstad kommune";"Kunngjøring av konkurranse";"2022-03-15";"2022-04-22";"/Notice/Details/2022-307195";"45212210";NA;"11";"2022";"38";"tir\."
"2022-348720";"Flytebrygge Dalen gjestehavn";"Tokke kommune";"Kunngjøring av konkurranse";"2022-03-15";"2022-03-30";"/Notice/Details/2022-348720";"45241500";"21000000";"11";"2022";"15";"tir\."
"2022-380648";"Vedlikehold av kommunale gressplener";"Sula kommune";"Kunngjøring av konkurranse";"2022-03-15";"2022-03-30";"/Notice/Details/2022-380648";"77320000";"20000000";"11";"2022";"15";"tir\."
"2022-336890";"P3558 Rivearbeid Hardangervegen 669";"Bergen kommune - Etat for boligforvaltning";"Kunngjøring av konkurranse";"2022-03-15";"2022-03-30";"/Notice/Details/2022-336890";"45111000";NA;"11";"2022";"15";"tir\."
"2022-311795";"NRK MA3519/22N Flyttetjenester";"Norsk rikskringkasting AS";"Kunngjøring av konkurranse";"2022-03-15";"2022-04-26";"/Notice/Details/2022-311795";"98392000";"20000000";"11";"2022";"42";"tir\."
"2022-309149";"Totalentreprise: Rehabiliteringsarbeider av Lofsrud gård (Klemetsrudveien 50)";"Oslo kommune v/ Bydel Søndre Nordstrand";"Kunngjøring av konkurranse";"2022-03-15";"2022-03-28";"/Notice/Details/2022-309149";"45211200";"95000000";"11";"2022";"13";"tir\."
"2022-358025";"Hovedbankavtale for Rauma kommune";"Rauma kommune co/BERGEN CAPITAL MANAGEMENT AS";"Kunngjøring av konkurranse";"2022-03-15";"2022-05-06";"/Notice/Details/2022-358025";"66100000";"4000000";"11";"2022";"52";"tir\."
"2022-372402";"Institusjonssenger tiltenkt sjukeheimsinstitusjon";"Ullensvang kommune";"Kunngjøring av konkurranse";"2022-03-15";"2022-04-07";"/Notice/Details/2022-372402";"33192130";"20000000";"11";"2022";"23";"tir\."
"2022-350094";"Kvalitetsanalysemaskin for DNA and RNA";"Universitetet i Oslo";"Kunngjøring av konkurranse";"2022-03-15";"2022-04-19";"/Notice/Details/2022-350094";"38000000";NA;"11";"2022";"35";"tir\."
"2022-382802";"Tilbud til barn med særskilt behov- kartlegging og komparativ analyse";"Oslo kommune v/ Bydel Bjerke";"Kunngjøring av konkurranse";"2022-03-15";"2022-03-30";"/Notice/Details/2022-382802";"73200000";"3000000";"11";"2022";"15";"tir\."
"2022-398761";"bistand til kartlegging av psykiske belastningreaksjoner hos ansatte i kriminalomsorgen";"Kriminalomsorgsdirektoratet";"Kunngjøring av konkurranse";"2022-03-15";"2022-04-04";"/Notice/Details/2022-398761";"79633000";"8000000";"11";"2022";"20";"tir\."
"2022-303313";"Anskaffelse av kontormøbler - Nye Lillestrøm bibliotek";"Lillestrøm Kommune";"Kunngjøring av konkurranse";"2022-03-15";"2022-03-29";"/Notice/Details/2022-303313";"39130000";NA;"11";"2022";"14";"tir\."
"2022-318367";"Kjøp av 1 stykk elektrisk hjullaster til Kalnes VGS";"Viken fylkeskommune";"Kunngjøring av konkurranse";"2022-03-15";"2022-04-19";"/Notice/Details/2022-318367";"34144710";"13000000";"11";"2022";"35";"tir\."
"2022-356160";"Anskaffelse av rullekomperimator for metall på gjenvinningsstasjon";"GLÅMDAL INTERKOMMUNALE RENOVASJONSSELSKAP IKS";"Kunngjøring av konkurranse";"2022-03-15";"2022-03-23";"/Notice/Details/2022-356160";"44616200";"3500000";"11";"2022";"8";"tir\."
"2022-386607";"Asfaltering kommunale veger 2022";"Levanger Kommune";"Kunngjøring av konkurranse";"2022-03-15";"2022-04-04";"/Notice/Details/2022-386607";"45233222";NA;"11";"2022";"20";"tir\."
"2022-349745";"2022-23 Skysstjenester Ålesund videregående skole. Rammeavtale.";"Møre og Romsdal Fylkeskommune";"Kunngjøring av konkurranse";"2022-03-15";"2022-03-31";"/Notice/Details/2022-349745";"60120000";"12500000";"11";"2022";"16";"tir\."
"2022-375098";"Kjøp av lastebil";"Aurskog-Høland kommune";"Kunngjøring av konkurranse";"2022-03-15";"2022-04-22";"/Notice/Details/2022-375098";"34134200";NA;"11";"2022";"38";"tir\."
"2022-355257";"Digitalisering av historiske arbeidsforhold";"Oslo kommune v/ Utviklings- og kompetanseetaten";"Kunngjøring av konkurranse";"2022-03-15";"2022-04-05";"/Notice/Details/2022-355257";"79999100";"16000000";"11";"2022";"21";"tir\."
"2022-327556";"20220006 Kantinedrift Bodø";"Skatteetaten";"Kunngjøring av konkurranse";"2022-03-15";"2022-04-22";"/Notice/Details/2022-327556";"55512000";"50000000";"11";"2022";"38";"tir\."
"2022-399303";"Instrument for katalysatorkarakterisering";"Universitetet i Oslo";"Kunngjøring av konkurranse";"2022-03-15";"2022-04-01";"/Notice/Details/2022-399303";"38300000";"12000000";"11";"2022";"17";"tir\."
"2022-391576";"Hovedbankavtale for Tysvær kommune";"Tysvær kommune co/BERGEN CAPITAL MANAGEMENT AS";"Kunngjøring av konkurranse";"2022-03-15";"2022-04-20";"/Notice/Details/2022-391576";"66100000";"4000000";"11";"2022";"36";"tir\."
"2022-318193";"Forvaltning av videre utlån for Tysvær kommune";"Tysvær kommune co/BERGEN CAPITAL MANAGEMENT AS";"Kunngjøring av konkurranse";"2022-03-15";"2022-04-20";"/Notice/Details/2022-318193";"66100000";"1000000";"11";"2022";"36";"tir\."
"2022-326792";"Riving Storebo-Tomtebo 1";"Modum kommune";"Kunngjøring av konkurranse";"2022-03-14";"2022-04-19";"/Notice/Details/2022-326792";"45110000";NA;"11";"2022";"36";"man\."
"2022-382283";"Anskaffelse av nytt fallunderlag Skrubbelund barnehage";"Oslo kommune v/ Bydel Bjerke";"Kunngjøring av konkurranse";"2022-03-14";"2022-04-04";"/Notice/Details/2022-382283";"37535200";"3000000";"11";"2022";"21";"man\."
"2022-382127";"Bistand penetrasjonstest skoleløsning";"Kriminalomsorgsdirektoratet";"Kunngjøring av konkurranse";"2022-03-14";"2022-03-31";"/Notice/Details/2022-382127";"72000000";"1500000";"11";"2022";"17";"man\."
"2022-379426";"NY KONKURRANSE Sjøskogen uteområdet, entreprise";"Ås kommune";"Kunngjøring av konkurranse";"2022-03-14";"2022-04-28";"/Notice/Details/2022-379426";"45112723";NA;"11";"2022";"45";"man\."
"2022-333940";"E39 Rogfast Boligrigg Laupland";"Statens vegvesen";"Kunngjøring av konkurranse";"2022-03-14";"2022-04-19";"/Notice/Details/2022-333940";"44211100";NA;"11";"2022";"36";"man\."
"2022-371173";"Erdal gravplass Infrastruktur";"Askøy kirkelige fellesråd";"Kunngjøring av konkurranse";"2022-03-14";"2022-04-22";"/Notice/Details/2022-371173";"45233120";"360000000";"11";"2022";"39";"man\."
"2022-387925";"Romnesvegen VA-anlegg";"Nome kommune, Samferdsel og kommunalteknikk";"Kunngjøring av konkurranse";"2022-03-14";"2022-04-13";"/Notice/Details/2022-387925";"45232411";NA;"11";"2022";"30";"man\."
"2022-377663";"PRISFORESPØRSEL FOR ETT KOMPLETT SPARKER SEISMIC SYSTEM";"Norges geologiske undersøkelse (NGU)";"Kunngjøring av konkurranse";"2022-03-14";"2022-05-31";"/Notice/Details/2022-377663";"38230000";NA;"11";"2022";"78";"man\."
"2022-317149";"Oasen svømmeanlegg - midlertidig brannrømningsløsning";"Namsos Kommune";"Kunngjøring av konkurranse";"2022-03-14";"2022-04-01";"/Notice/Details/2022-317149";"45210000";"18000000";"11";"2022";"18";"man\."
"2022-312147";"Utbedring av lekkasje på demninger Øksnes kommune";"Øksnes Kommune";"Kunngjøring av konkurranse";"2022-03-14";"2022-04-11";"/Notice/Details/2022-312147";"45247210";"80000000";"11";"2022";"28";"man\."
"2022-385003";"IK-NOR 001-2022 Solskjerming til Åsaheimen";"Bergen kommune - Innkjøp konsern";"Kunngjøring av konkurranse";"2022-03-14";"2022-03-25";"/Notice/Details/2022-385003";"39515000";NA;"11";"2022";"11";"man\."
"2022-318000";"2022/1135 Vindusbytte ved eiendom 02602 Bodø Fengsel";"STATSBYGG";"Kunngjøring av konkurranse";"2022-03-14";"2022-04-19";"/Notice/Details/2022-318000";"45422000";NA;"11";"2022";"36";"man\."
"2022-328467";"Digitalisering av historiske arbeidsforhold";"Oslo kommune v/ Utviklings- og kompetanseetaten";"Kunngjøring av konkurranse";"2022-03-14";"2022-04-05";"/Notice/Details/2022-328467";"79631000";"16000000";"11";"2022";"22";"man\."
"2022-347335";"Bredbånd i Harstad kommune: Tennvassåsen - Sørli og Meløyvær-Krøttøy";"Harstad kommune v/Bredbåndsfylket AS";"Kunngjøring av konkurranse";"2022-03-14";"2022-04-05";"/Notice/Details/2022-347335";"45232332";"50630000";"11";"2022";"22";"man\."
"2022-370236";"Anskaffelse av beltegraver";"Halden Kommune";"Kunngjøring av konkurranse";"2022-03-14";"2022-04-25";"/Notice/Details/2022-370236";"43261000";NA;"11";"2022";"42";"man\."
